users_id,region,gender,age,height,weight,deadlift,backsq,pullups,Goals,WorkoutLocation,Equipment,Program name
5223,Europe,Male,34,72,197,441,331,48,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
6019,Europe,Male,28,70,182,540,441,64,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
9515,Europe,Male,25,71,181,419,375,44,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
17467,Europe,Male,35,71,84,386,342,37,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
23250,Europe,Male,27,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
25233,Europe,Male,32,75,201,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
41934,Europe,Male,29,73,183,364,265,28,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
74509,Asia,Male,31,69,148,375,265,75,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
1898,Europe,Male,28,70,176,463,309,40,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
3609,Europe,Male,34,72,187,397,375,46,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
5245,Europe,Male,30,71,187,485,408,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
19530,Europe,Male,19,68,175,408,353,60,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
43463,Europe,Male,26,75,205,485,408,39,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
43635,Europe,Male,38,75,220,485,331,45,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
65299,Europe,Male,40,74,198,309,276,25,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
23714,Europe,Male,25,73,194,397,364,55,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
70866,Europe,Male,37,72,NA,529,397,28,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
46481,Europe,Male,37,69,172,397,298,21,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
21308,Europe,Male,28,71,177,NA,NA,55,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
53298,Asia,Male,28,67,154,287,265,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
32045,Europe,Male,28,74,209,441,342,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
36636,Europe,Male,32,71,194,507,441,56,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
60658,Europe,Male,37,72,207,496,441,25,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
61388,Europe,Male,27,71,203,430,365,30,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2395,Asia,Male,30,71,175,300,260,25,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
9432,Europe,Male,35,70,179,430,304,47,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
45719,Europe,Male,35,67,152,309,276,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
15000,Asia,Male,27,74,195,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
16238,Europe,Male,28,69,163,397,353,30,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
58609,Europe,Male,39,67,198,485,397,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
66149,Europe,Male,28,72,191,397,315,50,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
16932,Europe,Male,25,72,192,463,408,41,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
43410,Europe,Male,37,73,187,353,265,47,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7322,Europe,Male,28,69,176,441,320,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
10858,Europe,Male,33,74,183,390,287,40,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
32729,Europe,Male,24,69,192,0,0,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
46648,Europe,Male,39,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
75292,Europe,Male,26,69,169,452,353,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
16212,Europe,Male,36,69,214,487,357,20,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
37627,Europe,Male,39,NA,NA,485,397,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
75138,Europe,Male,36,NA,220,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
70985,Europe,Male,46,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
6704,Europe,Male,22,73,187,474,386,48,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
10808,Europe,Male,32,77,251,529,353,50,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
17117,Europe,Male,35,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
37323,Europe,Male,30,73,198,507,342,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
64464,Europe,Male,29,71,198,485,375,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
42544,Europe,Male,40,67,174,331,243,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
26401,Europe,Male,27,68,77,419,353,52,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
39995,Europe,Male,35,76,222,507,441,50,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
21605,Europe,Male,26,NA,NA,342,231,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
56327,Europe,Male,35,77,236,600,419,42,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
33765,Europe,Male,31,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
3915,Europe,Male,25,70,165,364,276,32,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
36611,Europe,Male,23,71,190,485,331,87,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
49209,Europe,Male,40,72,176,375,287,36,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
58455,Europe,Male,31,70,187,529,408,42,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2044,Europe,Male,25,72,181,463,377,45,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2785,Europe,Male,30,71,176,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
9583,Europe,Male,37,67,176,375,353,30,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
8314,Europe,Male,38,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
16032,Asia,Male,34,73,213,NA,NA,18,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
26582,Europe,Male,32,69,NA,405,325,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
12885,Europe,Male,26,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
46744,Europe,Male,26,67,198,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
26620,Europe,Male,29,66,150,397,298,41,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
27292,Europe,Male,21,72,187,0,0,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
31044,Europe,Male,29,74,214,441,386,20,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7906,Europe,Male,46,74,187,386,287,28,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
29612,Europe,Male,32,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7256,Europe,Male,37,69,176,342,298,40,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
46825,Europe,Male,41,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
14019,Europe,Male,27,70,198,551,441,49,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
50754,Europe,Male,20,5,187,353,353,10,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
66288,Europe,Male,33,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
5239,Europe,Male,28,69,70,0,0,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2865,Europe,Male,28,73,236,463,353,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
33678,Europe,Male,27,74,214,408,353,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
13659,Europe,Male,36,67,143,265,176,15,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
34149,Asia,Male,26,69,205,485,408,30,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
64833,Asia,Male,29,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
6660,Asia,Male,38,70,166,352,275,23,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
35652,Asia,Male,25,67,159,380,342,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
35809,Europe,Male,36,72,212,529,441,24,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
22960,Europe,Male,29,70,209,419,353,10,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
72206,Europe,Male,25,68,198,441,375,25,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
24227,Europe,Male,27,67,176,353,265,21,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2094,Europe,Male,24,74,198,463,287,18,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
32581,Europe,Male,41,76,215,397,258,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
14658,Asia,Male,33,71,195,410,335,20,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
25817,Europe,Male,31,71,203,507,441,45,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
60306,Europe,Male,30,74,254,694,639,11,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
7166,Europe,Male,34,71,185,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
15852,Asia,Male,30,72,187,505,330,31,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
19079,Europe,Male,31,NA,190,441,375,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
42142,Europe,Male,31,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
51800,Europe,Male,40,69,181,419,419,21,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
60782,Europe,Male,34,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2452,Europe,Male,38,69,187,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
5085,Europe,Male,37,72,NA,452,353,44,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
18602,Europe,Male,33,NA,209,441,276,7,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
31945,Europe,Male,33,71,179,419,353,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
9465,Europe,Male,31,NA,183,529,375,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
21496,Europe,Male,40,75,176,386,287,30,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
40642,Europe,Male,35,70,176,397,254,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2089,Europe,Male,24,69,176,463,364,48,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
40218,Europe,Male,27,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
56638,Europe,Male,33,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
58660,Asia,Male,35,NA,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
83723,Europe,Male,29,74,194,463,342,33,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
61807,Europe,Male,26,77,201,353,243,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
81072,Europe,Male,42,73,220,397,265,14,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
23495,Europe,Male,33,69,165,430,331,23,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
24403,Europe,Male,35,73,194,419,375,35,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
2325,Europe,Male,30,68,154,386,276,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
9521,Europe,Male,25,75,220,450,384,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
24726,Europe,Male,30,70,NA,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
52102,Europe,Male,34,NA,175,375,287,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
10693,Europe,Male,31,70,176,441,408,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
15949,Asia,Male,36,65,159,397,331,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
50248,Europe,Male,32,70,163,397,320,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
58877,Asia,Male,47,74,214,425,315,22,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
67023,Europe,Male,28,70,185,365,287,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
54677,Europe,Male,29,70,176,485,364,48,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
66295,Europe,Male,23,67,161,419,309,40,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
72885,Europe,Male,30,71,176,463,375,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
35991,Europe,Male,42,68,161,342,276,37,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
41579,Europe,Male,33,74,183,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
40621,Europe,Male,40,74,216,340,284,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
59675,Europe,Male,47,72,184,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
79718,Europe,Male,34,NA,154,276,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
30694,Europe,Male,41,73,185,250,NA,20,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
42024,Europe,Male,36,NA,NA,386,298,47,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
4467,Europe,Male,24,NA,172,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
51625,Europe,Male,29,73,181,375,298,39,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
3096,Europe,Male,32,72,185,441,364,47,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
6942,Europe,Male,29,NA,NA,0,0,0,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
11677,Europe,Male,47,65,166,NA,NA,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
38557,Europe,Male,23,67,179,385,335,35,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
10780,Europe,Male,38,72,171,441,276,46,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
35239,Europe,Male,40,74,163,345,215,NA,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
10761,Europe,Male,24,71,169,309,176,25,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
14268,Europe,Male,34,69,187,397,386,50,Lose fat and build strength & muscles,Home,None ,Beginner home workout male (Bodyweight)
